prefecture,predicted_population_2024,confidence_interval_lower,confidence_interval_upper,validation_mape,validation_rmse
Hokkaido,5054596.897951262,5045362.514141411,5063831.281761114,0.006383980745066571,38916.679211786955
Aomori,1167561.675187288,1161814.666068814,1173308.6843057622,0.006558988554535806,9417.378981402097
Iwate,1147749.105513056,1143772.3075311685,1151725.9034949436,0.007089339921561176,9543.126980025536
Miyagi,2269089.1935135466,2247780.279924709,2290398.1071023843,0.0017628188814260224,5288.350391816189
Akita,898905.0464131898,896111.53848882,901698.5543375597,0.0010818035187092946,1257.9500411360402
Yamagata,1012758.8991001768,1010546.7403533086,1014971.0578470449,0.0020009584645965645,2701.720267308515
Fukushima,1743425.1653053833,1732984.3832353647,1753865.9473754019,0.005713670950669161,10885.433196073098
Ibaraki,2809606.712304492,2802709.1876384453,2816504.2369705387,0.002214582590981594,6882.717630576586
Tochigi,1901312.142296874,1882407.7230634692,1920216.5615302788,0.00450749303235064,9685.570475518285
Gumma,1888504.6738664964,1885363.450043045,1891645.8976899479,0.002266923545582289,5610.118353597801
Saitama,7326854.6191829145,7307039.34720808,7346669.891157749,0.004256473939619738,39135.03118150638
Chiba,6257030.533518022,6238028.149359735,6276032.917676309,0.003996032678800343,32256.62873375448
Tokyo,14136259.291666666,14030394.74564599,14242123.837687341,0.0038588055719303606,55548.3568589199
Kanagawa,9243787.789708104,9221048.179213487,9266527.400202721,0.0044478401382485435,52927.298232939225
Niigata,2101571.629004789,2097837.6564625297,2105305.6015470484,0.007420715349700959,18089.582456008353
Toyama,999205.0329180175,996398.7587288975,1002011.3071071374,0.0063663202174110214,7561.194490865307
Ishikawa,1103457.5960812306,1100880.7612714756,1106034.4308909855,0.009120256363826231,11669.404561923044
Fukui,737659.2756262862,735133.8447686109,740184.7064839614,0.00423352549873036,4052.2276569083806
Yamanashi,789124.2077539822,786318.833598727,791929.5819092373,0.0056991724040402255,5739.203386151405
Nagano,1984367.0751868056,1978395.0550182946,1990339.0953553165,0.0003249531594291217,763.4632663567752
Gifu,1915627.037948316,1911637.5843572284,1919616.4915394036,0.0009648181640417815,2310.039487243586
Shizuoka,3533360.3591375933,3526455.900840394,3540264.8174347924,0.0029665548416340512,13723.760662776136
Aichi,7509363.145833333,7466338.410959378,7552387.880707288,0.018155305893668122,159235.07387230935
Mie,1714369.9211270893,1710239.8366003395,1718500.005653839,0.005498344299745191,11225.405573721493
Shiga,1403235.9408410913,1399630.8169028056,1406841.064779377,0.000723277559518126,1226.6652016692628
Kyoto,2534340.6942729084,2524314.7897236054,2544366.5988222114,0.00795002581613934,24155.868413698434
Osaka,8754022.87306023,8732038.758741241,8776006.98737922,0.004053745025290792,46806.1364422189
Hyogo,5350408.17569684,5318119.958093797,5382696.393299882,0.008934887676385637,57573.072524295
Nara,1286593.116988312,1283075.3275381573,1290110.9064384666,0.003915741367046438,5601.117399314926
Wakayama,881872.9848583482,878961.8803112136,884784.0894054828,0.002903615659125944,3304.4203624247434
Tottori,532093.4299953057,530236.5810509812,533950.2789396303,0.003981324726400088,2671.7589225076977
Shimane,644373.43651146,641899.904943714,646846.968079206,0.0057273327957128774,4758.34518715425
Okayama,1833983.3540947987,1830509.5086821145,1837457.1995074828,0.004524308249724095,11172.797769667914
Hiroshima,2721189.1925584413,2716056.1548890104,2726322.2302278723,0.009696954738875442,32045.515703840174
Yamaguchi,1285307.774368951,1281856.400064384,1288759.148673518,0.008377330830359533,12732.122920077018
Tokushima,686865.8374731186,684677.9342792977,689053.7406669394,0.005227194477332371,4017.4670031110845
Kagawa,919589.57888128,917342.928330032,921836.229432528,0.008289960010527947,9231.339956809737
Ehime,1278680.2756723324,1275612.6976903132,1281747.8536543516,0.006572505418188465,10475.608318576305
Kochi,657328.7437218635,655249.8127886584,659407.6746550685,0.000783142549388942,838.0529789794082
Fukuoka,5104396.64081336,5095922.206003256,5112871.075623464,0.0034590884836054833,23715.696151607215
Saga,790109.5735123397,788196.0772302534,792023.0697944261,0.0036602656792208608,3530.2156445083465
Nagasaki,1252964.5556297135,1249250.1539143694,1256678.9573450575,0.0073411733400053055,10577.812231420477
Kumamoto,1699225.42350766,1695703.8128256602,1702747.0341896596,0.0035591374914291664,6605.950676693131
Oita,1087992.9426451935,1084885.8902344343,1091099.9950559528,0.010243999988504377,12516.868616621496
Miyazaki,1035801.5079386422,1031726.5303327212,1039876.4855445632,0.007340834452112458,9132.85040915071
Kagoshima,1535763.6396014777,1531249.5562627735,1540277.7229401818,0.0013522565307547245,2444.534483756775
Okinawa,1472898.827036343,1468833.7333788078,1476963.9206938783,0.004639324736393591,8947.504393467787
